"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-11-24",,"80",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-11-25",,"81","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-11-26",,"79","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-11-27",,"80","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-11-28",,"81","86",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-11-29",,"85","88",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-11-30",,"83","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-01",,"81","88",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-02",,"80","88",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-03",,"83","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-04",,"83","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-05",,"79","87",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-06",,"84","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-09",,"80","88",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-10",,"82","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-11",,"81","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-12",,"79","89",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-13",,"80","88",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-14",,"82",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-15",,"82","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-16",,"81","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-17",,"82",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-18",,"85","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-19",,"83","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-20",,"87",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-21",,"86","94",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-22",,"84","93",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-23",,"84","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-24",,"83","91",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-25",,"82",,
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-26",,"85","92",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-27",,"79","90",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-28",,"77","89",
"IV000005555","BOUAKE, IV","7.68","-5.03","369.0","2014-12-29",,"80","90",
