STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TAVG,TMAX,TMIN
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,21.01.2015,,,29.4,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.01.2015,,,28.8,,22
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,23.01.2015,,,30.6,,23.7
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,24.01.2015,,,28.5,,23.5
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,25.01.2015,,,24.8,,22.3
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,26.01.2015,,,28.1,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,27.01.2015,,,28.1,33.4,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,28.01.2015,,,27.6,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,29.01.2015,,,27.5,,22.4
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,30.01.2015,,,26.5,,23
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,01.02.2015,,,30.7,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,02.02.2015,,,28.2,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,03.02.2015,,,26.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,04.02.2015,,,27.6,,23.8
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,05.02.2015,,,30.2,35.3,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,06.02.2015,,,30.9,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,11.02.2015,,,28.8,,25.5
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,13.02.2015,,,29.6,34.9,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,14.02.2015,,,29.2,34.5,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,15.02.2015,,,30.1,34.5,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,17.02.2015,,,27.9,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,24.03.2015,,,25.9,,25
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,09.04.2015,,,29.9,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,10.04.2015,,,25.6,,21.7
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,12.04.2015,,,25.5,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,13.04.2015,,,28.8,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,14.04.2015,,,27.3,,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,15.04.2015,,,28.8,34,24.5
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,17.04.2015,,,27.1,33.5,
NIM00065250,"PORT HARCOURT INTERNATIONAL, NI",5.015,6.95,26.5,22.04.2015,,,30.7,,
