"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CMM00064860","GAROUA, CM","2014-01-01",,,"82",,"63"
"CMM00064860","GAROUA, CM","2014-01-02",,,"80","94","63"
"CMM00064860","GAROUA, CM","2014-01-03",,,"81","95",
"CMM00064860","GAROUA, CM","2014-01-04",,,"80","93","63"
"CMM00064860","GAROUA, CM","2014-01-05",,,"81",,"62"
"CMM00064860","GAROUA, CM","2014-01-06",,,"80","92","63"
"CMM00064860","GAROUA, CM","2014-01-07",,,"81","92","60"
"CMM00064860","GAROUA, CM","2014-01-08",,,"80","94","60"
"CMM00064860","GAROUA, CM","2014-01-09",,,"77","92",
"CMM00064860","GAROUA, CM","2014-01-10",,,"79","92","62"
"CMM00064860","GAROUA, CM","2014-01-11",,,"78","90","60"
"CMM00064860","GAROUA, CM","2014-01-12",,,"80","92","61"
"CMM00064860","GAROUA, CM","2014-01-13",,,"80","92","61"
"CMM00064860","GAROUA, CM","2014-01-14",,,"81","94","62"
"CMM00064860","GAROUA, CM","2014-01-15",,,"83","97","63"
"CMM00064860","GAROUA, CM","2014-01-16",,,"85","100","64"
"CMM00064860","GAROUA, CM","2014-01-17",,,"85","99","65"
"CMM00064860","GAROUA, CM","2014-01-18",,,"84","98","64"
"CMM00064860","GAROUA, CM","2014-01-19",,,"86","101",
"CMM00064860","GAROUA, CM","2014-01-20",,,"83",,
"CMM00064860","GAROUA, CM","2014-01-21",,,"84","100","61"
"CMM00064860","GAROUA, CM","2014-01-22",,,"83","99","62"
"CMM00064860","GAROUA, CM","2014-01-23",,,"84","100","65"
"CMM00064860","GAROUA, CM","2014-01-24",,,"85","100","63"
"CMM00064860","GAROUA, CM","2014-01-25",,,"87","99","66"
"CMM00064860","GAROUA, CM","2014-01-26",,,"87","102","65"
"CMM00064860","GAROUA, CM","2014-01-27",,,"80","98","65"
"CMM00064860","GAROUA, CM","2014-01-28",,,"83","94","65"
"CMM00064860","GAROUA, CM","2014-01-29",,,"80","97","66"
"CMM00064860","GAROUA, CM","2014-01-30",,,"88","100",
"CMM00064860","GAROUA, CM","2014-01-31",,,"88","101","69"
"CMM00064860","GAROUA, CM","2014-02-01",,,"90","102","74"
"CMM00064860","GAROUA, CM","2014-02-02",,,"86","96","71"
"CMM00064860","GAROUA, CM","2014-02-03",,,"85","96",
"CMM00064860","GAROUA, CM","2014-02-04",,,"87","98","66"
"CMM00064860","GAROUA, CM","2014-02-05",,,"87",,"68"
"CMM00064860","GAROUA, CM","2014-02-06",,,"88","101","69"
"CMM00064860","GAROUA, CM","2014-02-07",,,"86",,"69"
"CMM00064860","GAROUA, CM","2014-02-08",,,"86",,
"CMM00064860","GAROUA, CM","2014-02-09",,,"86",,
"CMM00064860","GAROUA, CM","2014-02-10",,,"86","98",
"CMM00064860","GAROUA, CM","2014-02-11",,,"86","99",
"CMM00064860","GAROUA, CM","2014-02-12",,,"84","96","68"
"CMM00064860","GAROUA, CM","2014-02-13",,,"85",,"64"
"CMM00064860","GAROUA, CM","2014-02-14",,,"84","96","67"
"CMM00064860","GAROUA, CM","2014-02-15",,,"83","103","69"
"CMM00064860","GAROUA, CM","2014-02-16",,,"81","94","64"
"CMM00064860","GAROUA, CM","2014-02-17",,,"85",,"63"
"CMM00064860","GAROUA, CM","2014-02-18",,,"86",,"65"
"CMM00064860","GAROUA, CM","2014-02-19",,,"86","99","65"
"CMM00064860","GAROUA, CM","2014-02-20",,,"87",,"64"
"CMM00064860","GAROUA, CM","2014-02-21",,,"89",,"68"
"CMM00064860","GAROUA, CM","2014-02-22",,,"90","104","70"
"CMM00064860","GAROUA, CM","2014-02-23",,,"88","101",
"CMM00064860","GAROUA, CM","2014-02-24",,,"90","102","71"
"CMM00064860","GAROUA, CM","2014-02-25",,,"92","106","68"
"CMM00064860","GAROUA, CM","2014-02-26",,,"92","105","73"
"CMM00064860","GAROUA, CM","2014-02-27",,,"92",,
"CMM00064860","GAROUA, CM","2014-02-28",,,"94","104","77"
"CMM00064860","GAROUA, CM","2014-03-01",,,"88",,
"CMM00064860","GAROUA, CM","2014-03-02",,,"88","96","80"
"CMM00064860","GAROUA, CM","2014-03-03",,,"89","96",
"CMM00064860","GAROUA, CM","2014-03-04",,,"90","101","74"
"CMM00064860","GAROUA, CM","2014-03-05",,,"92",,"75"
"CMM00064860","GAROUA, CM","2014-03-06",,,"92","103","73"
"CMM00064860","GAROUA, CM","2014-03-07",,,"95","108",
