,YEAR,GDP,"Unemployment, total (% of total labor force) (modeled ILO estimate)","Inflation, consumer prices (annual %)"
Ghana,1960,546203559.3,,
Ghana,1961,618245634.2,,
Ghana,1962,645284473.7,,
Ghana,1963,761047198,,
Ghana,1964,921063326.6,,
Ghana,1965,919771228.8,,26.44478485
Ghana,1966,1024102880,,13.23788546
Ghana,1967,1082922725,,-8.422485898
Ghana,1968,1281281277,,7.894736842
Ghana,1969,1361360293,,7.317073163
Ghana,1970,1455482795,,3.030303031
Ghana,1971,1584128509,,9.558823537
Ghana,1972,1849400402,,10.06711409
Ghana,1973,2508421426,,17.68292682
Ghana,1974,3070152309,,18.13471503
Ghana,1975,3893839190,,29.8245614
Ghana,1976,4662053825,,56.08108108
Ghana,1977,6265068189,,116.4502165
Ghana,1978,7900526298,,73.09166667
Ghana,1979,9142933967,,54.44128833
Ghana,1980,10175617609,,50.07013934
Ghana,1981,8432589942,,116.503604
Ghana,1982,7567110849,,22.29556641
Ghana,1983,6838184773,,122.8745146
Ghana,1984,6841639247,,39.66531379
Ghana,1985,6977650644,,10.30544067
Ghana,1986,9158302100,,24.56541608
Ghana,1987,10087654465,,39.81506788
Ghana,1988,10255169806,,31.35926763
Ghana,1989,9757410645,,25.22369203
Ghana,1990,10795850583,,37.25906649
Ghana,1991,10492628581,3.489,18.03143901
Ghana,1992,11152971274,4.7,10.05611674
Ghana,1993,11045760288,5.238,24.95984247
Ghana,1994,8313557510,5.895,24.87025544
Ghana,1995,11000146267,6.479,59.4615537
Ghana,1996,18071152831,7.084,46.56101968
Ghana,1997,18047558038,7.637,27.88520864
Ghana,1998,19619654756,8.2,14.62416667
Ghana,1999,18870992456,10.1,4.865397851
Ghana,2000,16577533892,10.456,40.24093312
Ghana,2001,16810537044,9.604,41.50949629
Ghana,2002,18054383321,8.698,9.360932396
Ghana,2003,21251754340,7.722,29.77297972
Ghana,2004,23510575681,6.757,18.04273882
Ghana,2005,24036918703,5.817,15.43899202
Ghana,2006,25281413263,4.897,11.67918394
Ghana,2007,28760090953,5.092,10.73426655
Ghana,2008,34078240293,5.142,16.49463961
Ghana,2009,33886813250,5.349,19.24694822
Ghana,2010,34936307980,5.384,10.73338984
Ghana,2011,36693710801,4.227,8.728459371
Ghana,2012,36302302877,3.141,11.18634094
Ghana,2013,42760235485,2.173,11.66619231
Ghana,2014,48843005614,4.412,15.48961603
Ghana,2015,45815005169,6.806,17.1499695
Ghana,2016,48407761037,5.237,17.45463471
Ghana,2017,52512343997,3.369,12.37192155
Ghana,2018,58522477787,3.251,7.808765166
Ghana,2019,60382894697,3.156,7.143640033
Ghana,2020,63027852805,3.285,9.887289563
Ghana,2021,72794636654,3.338,9.971088675
Ghana,2022,70173140101,3.084,31.2558951
